query;find_id;session_id;position;same_video
"shark and four divers";5413;test_n;330;0;449
"shark and four divers near white sand";5413;test_n;224;0;508
"shark in spotlight";5432;test_n;264;2;21
"shark in spotlight, great hammerhead shark, basking shark";5432;test_n;371;3;6
"orange fishes under rock";6114;test_n;1;7;1
"clown fish";6231;test_n;6;7;26
"giant kelp";6257;test_n;2430;0;642
"giant kelp, kelp forest";6257;test_n;4193;0;678
"yellowish coral with blueish ends";6295;test_n;14;3;182
"rocky reef with small black thorny creature";7346;test_n;39;3;16080
"three greyish rays lying in sand";8740;test_n;18;2;7486
"two spotted rays";8912;test_n;34;12;26
"fattish fish lying under rock";9368;test_n;37;2;2234
"spotted moray eel under coral reef";9487;test_n;12;13;100
"blue and yellow fish near coral reef";9600;test_n;14;2;13
"turtle near brown corals";9772;test_n;168;1;146
"hawksbill turtle near brown corals";9772;test_n;145;5;122
"shipwreck with windows";10739;test_n;8;9;764
"white black spotted fish above white sandy ocean bed";11643;test_n;304;0;364
"white black spotted fish above white sandy ocean bed, spotted porcupinefish, porcupine fish";11643;test_n;71;3;74
"striped white and brown fish above sand, brownish photo";12525;test_n;110;2;5682
"striped white and brown fish above sand, brownish photo, yellowedge grouper, sand flounder";12525;test_n;36;3;6481
"octopus lying in sand";12785;test_n;14;6;4266
"bush coral in spotlight";12829;test_n;66;0;10469
"bush coral in spotlight, yellow tube sponge";12829;test_n;61;3;9654
"orange creature above greyish sand with pillar coral";12906;test_n;2660;0;2673
"orange creature above greyish sand with pillar coral, arrow squid";12906;test_n;12;3;283
"hand holding round creature";13252;test_n;92;7;2
"hand holding cushion star, portuguese man owar";13252;test_n;3;14;8
"orange clownfish";13333;test_n;5;3;242
"sea star";13947;test_n;10;2;10
"giant barrel sponge";14346;test_n;9;4;375
"purple leafy corals from detail";14417;test_n;805;0;544
"purple leafy corals from detail, lettuce coral";14417;test_n;1170;0;268
"giant barrel sponge";15450;test_n;273;3;228
"giant barrel sponge, yellow tube sponge";15450;test_n;404;5;287
"giant black ray next to rock";16631;test_n;5567;0;2249
"giant black ray in light blue water";16631;test_n;294;0;1531
"a lot of small blue fishes with yellowish fins";16673;test_n;396;0;485
"a school of blue fishes with yellowish fins";16673;test_n;11;9;14
"kelp forest";21412;test_n;278;0;7974
"kelp forest with trees";21412;test_n;89;0;7911
