query;find_id;session_id;position;same_video
"orange weird fish";5104;1DD5zvg_;212;1
"oyster toadfish, scarlet frogfish, yellow tube sponge";5104;1DD5zvg_;23;1
"bright blue photo of white spotted shark";5282;1DD5zvg_;722;0
"bright light blue photo of white spotted whale shark";5282;1DD5zvg_;45;1
"moray eel eating lobster";5358;1DD5zvg_;160;0
"green moray eel eating lobster between whitish rocks, bigeye cardinalfish";5358;1DD5zvg_;34;1
"shark and four divers";5413;1DD5zvg_;310;0
"shark and four divers near white sand";5413;1DD5zvg_;148;1
"shark in spotlight";5432;1DD5zvg_;42;1
"diver swimming to the surface next to rock reef";5945;1DD5zvg_;8302;0
"diver swimming up to the bright surface between rocks";5945;1DD5zvg_;1869;0
"lamp with yellow shine";6030;1DD5zvg_;818;0
"lamp or camera with bright yellow shine";6030;1DD5zvg_;1046;0
"moon shine";6070;1DD5zvg_;593;0
"bright white light";6070;1DD5zvg_;502;0
"orange fishes under rock";6114;1DD5zvg_;2;1
"pillar reef with greenish and brownish corals";6134;1DD5zvg_;233;0
"pillar reef with greenish honeycomb corals and brownish pillar corals";6134;1DD5zvg_;221;0
"clown fish";6231;1DD5zvg_;2;1
"giant kelp";6257;1DD5zvg_;69;1
"giant kelp, bamboo coral";6257;1DD5zvg_;39;1
"yellowish coral with blueish ends";6295;1DD5zvg_;296;1
"moving yellowish coral with blueish ends, stanghorn coral, bamboo coral";6295;1DD5zvg_;211;1
"rocky reef with small black thorny creature";7346;1DD5zvg_;67;1
"rocky reef with two small black crown of thorns starfish";7346;1DD5zvg_;59;1
"three greyish rays lying in sand";8740;1DD5zvg_;4;1
"small brownish fish near rocky ocean bed in blue water";8812;1DD5zvg_;7669;0
"brownish fish above rocky ocean bed with greenish plant in blue water";8812;1DD5zvg_;1972;0
"two spotted rays";8912;1DD5zvg_;170;1
"two spotted eagle rays near ocean bed";8912;1DD5zvg_;27;1
"coral reef with brain corals, black thorn creatures under blue water";9104;1DD5zvg_;5322;0
"coral reef with brain corals, hood corals, whitish sand and small black thorn starfishes under blue water";9104;1DD5zvg_;5022;0
"coral reef with reddish corals";9233;1DD5zvg_;243;1
"coral reef with dark reddish corals, elkhorn coral, lophelia coral, devils hand coral";9233;1DD5zvg_;81;1
"fattish fish lying under rock";9368;1DD5zvg_;12;1
"spotted moray eel under coral reef";9487;1DD5zvg_;23;1
"blue and yellow fish near coral reef";9600;1DD5zvg_;10;1
"ivory bush coral bed with a lot of small fishes";9656;1DD5zvg_;293;0
"ocean bed full of small ivory bush corals with a lot of small fishes";9656;1DD5zvg_;1;1
"turtle near brown corals";9772;1DD5zvg_;734;0
"hawksbill turtle form behind near brown corals and rocks";9772;1DD5zvg_;516;1
"greenish brain coral and ivory bush coral on reddish rock with small fish";10123;1DD5zvg_;1871;0
"greenish brain coral and ivory bush coral on reddish rock with small fish, cockscomb cup coral, light purple corals";10123;1DD5zvg_;2946;0
"shipwreck with windows";10739;1DD5zvg_;162;1
"kind of inside shipwreck with windows";10739;1DD5zvg_;44;1
"ocean bed with white sand, bounded by rocky coral reef";11566;1DD5zvg_;259;0
"ocean bed with white sand, left bounded by rocky coral reef";11566;1DD5zvg_;369;0
"white black spotted fish above white sandy ocean bed";11643;1DD5zvg_;144;0
"white black spotted porcupinefish above white sandy ocean bed";11643;1DD5zvg_;6;1
"striped white and brown fish above sand, brownish photo";12525;1DD5zvg_;23;1
"octopus lying in sand";12785;1DD5zvg_;14;1
"bush coral in spotlight";12829;1DD5zvg_;372;0
"giant barrel sponge in spotlight";12829;1DD5zvg_;1;1
"orange creature above greyish sand with pillar coral";12906;1DD5zvg_;1630;0
"orange and white creature above greyish sand";12906;1DD5zvg_;145;0
"hand holding round creature";13252;1DD5zvg_;97;1
"hand holding round creature, eccentric sand dollar";13252;1DD5zvg_;6;1
"orange clownfish";13333;1DD5zvg_;7;1
"sea star";13947;1DD5zvg_;10;1
"long narrow fish lying in white sand";14096;1DD5zvg_;18;1
"giant barrel sponge";14346;1DD5zvg_;2313;0
"part of giant barrel sponge looking to middle of it";14346;1DD5zvg_;996;1
"purple leafy corals from detail";14417;1DD5zvg_;89;0
"purple stanghorn corals from detail";14417;1DD5zvg_;57;1
"giant barrel sponge";15450;1DD5zvg_;22;1
"giant leaf corals with diver";16062;1DD5zvg_;286;0
"giant brain corals with diver";16062;1DD5zvg_;43;1
"light giant sponge next to brownish corals";16142;1DD5zvg_;11313;0
"giant fat sponge looking like pneumatic";16142;1DD5zvg_;177;0
"yellowish corals with grey octopus";16394;1DD5zvg_;4562;0
"yellowish smooth corals with grey hairy coral looking like octopus";16394;1DD5zvg_;3418;0
"giant black ray next to rock";16631;1DD5zvg_;456;1
"giant black manta ray next to rock";16631;1DD5zvg_;22;1
"a lot of small blue fishes with yellowish fins";16673;1DD5zvg_;97;1
"a lot of small blue fishes with yellowish fins, atlantic spadefish";16673;1DD5zvg_;43;1
"bush hairy coral on green and red rock";18547;1DD5zvg_;128;1
"bush hairy coral on green and red rock, caribbean reef octopus";18547;1DD5zvg_;21;1
"rocks in grey sand with dark blue fish";18677;1DD5zvg_;15118;0
"rock monument in grey sand with small dark blue fish";18677;1DD5zvg_;6011;0
"coral reef with small blue parrotfish";19807;1DD5zvg_;64;0
"coral reef with small blue parrotfish and brown sea cucumber";19807;1DD5zvg_;7;1
"mars surface";20426;1DD5zvg_;4;1
"scuba diver with flashlight";20912;1DD5zvg_;6;1
"kelp forest";21412;1DD5zvg_;8;1
"white and red hairy coral in spotlight";21617;1DD5zvg_;165;0
"white and red hairy coral in yellowish spotlight";21617;1DD5zvg_;451;1
"bright yellow fins of scuba diver in spotlight";21876;1DD5zvg_;22;1
"diver with yellow shirt";3604;EPt87JL1;4299;0
"diver with yellow shirt, yellow tube sponge";3604;EPt87JL1;4516;0
"cliff and yellow fish";4719;EPt87JL1;149;0
"cliff and yellow fish, banded butterflyfish, giant barrel sponge";4719;EPt87JL1;129;0
"fish on sand";91;EPt87JL1;495;0
"fish on sand, spotted porcupinefish, sarcastic fringehead";91;EPt87JL1;215;1
"purple coral";791;EPt87JL1;11;1
"shark on bottom";17862;EPt87JL1;1142;0
"whitetip reef shark cyan sand";17862;EPt87JL1;87;1
"moray eel open mouth";4022;EPt87JL1;4;1
"stones on sea floor";772;EPt87JL1;971;0
"stones on sea floor, honeycomb coral";772;EPt87JL1;9316;0
"coral fins";811;EPt87JL1;29;1
"coral fins, ivory bush coral";2685;EPt87JL1;2182;0
"brown corals with a lot of fish";2549;EPt87JL1;6366;0
"dark grey corals with a lot of fish";2549;EPt87JL1;7926;0
"ray sand";8931;EPt87JL1;2154;0
"crab cage";1337;EPt87JL1;3;1
"dark clouds and mountain";3006;EPt87JL1;530;0
"dark clouds and mountain, plateau";3006;EPt87JL1;891;0
"stones and corals on sea floor";2129;EPt87JL1;209;0
"stones and corals on sea floor, honeycomb coral";2129;EPt87JL1;424;0
"fish with stripes";2819;EPt87JL1;134;1
"fish with stripes, queen angelfish";2819;EPt87JL1;39;1
"star";105;EPt87JL1;3428;0
"star, great star coral, sea star";105;EPt87JL1;18;1
"coral reef white sand";2261;EPt87JL1;2688;0
"coral reef white sand, elkhorn coral, hood coral";2261;EPt87JL1;3308;0
"grey stone";549;EPt87JL1;5958;0
"grey stone, stonefish";549;EPt87JL1;4622;0
"fish with stripes";193;EPt87JL1;177;1
"fish with stripes, kingfishes, clown triggerfish";193;EPt87JL1;77;0
"diver mask hair";317;EPt87JL1;10;1
"ship wreck steel blue";10759;EPt87JL1;541;1
"shipwreck, elkhorn coral";10759;EPt87JL1;2068;1
"stones";1999;EPt87JL1;51;1
"sea floor open sea";11666;EPt87JL1;4403;0
"sea floor open sea, lookdown dory";11666;EPt87JL1;1303;0
"ray";2742;EPt87JL1;1200;0
"ray, spotted eagle ray, giant manta ray, eagle ray";2742;EPt87JL1;220;0
"pink coral";1623;EPt87JL1;32;1
"coral fins";2951;EPt87JL1;3563;0
"coral fins, cockscomb cup coral, lettuce coral";2951;EPt87JL1;1168;0
"lettuce coral";2235;EPt87JL1;474;0
"lettuce coral, cockscomb cup coral and purple coral";2235;EPt87JL1;168;0
"sea floor coral fins";9828;EPt87JL1;4546;0
"sea floor coral fins, bamboo coral, stanghorn coral";9828;EPt87JL1;909;1
"diver blue fins";2295;EPt87JL1;11762;0
"diver blue fins, lookdown dory";2295;EPt87JL1;12816;0
"thorn fish";97;EPt87JL1;2006;0
"thorn fish, threespot damselfish, bluebanded goby";97;EPt87JL1;15285;0
"three divers";4314;EPt87JL1;78;0
"three divers, giant barrel sponge";4314;EPt87JL1;2935;0
"corals and fish";4646;EPt87JL1;3466;0
"corals and fish, honeycomb coral, stanghorn coral";4646;EPt87JL1;7276;0
"yellow fish lettuce coral";3053;EPt87JL1;43;1
"yellow corals";1419;EPt87JL1;38;1
"brown stone";844;EPt87JL1;29;1
"lot of fish bush coral";2486;EPt87JL1;1914;0
"lot of fish bush coral, cockscomb cup coral, kelp forest, branching cauliflower coral";2486;EPt87JL1;3583;0
"yellow fish reef";3951;EPt87JL1;373;0
"yellow fish reef, banded butterflyfish";3951;EPt87JL1;913;0
"sharks in deep sea";5541;EPt87JL1;37;1
"turtle";2809;EPt87JL1;187;0
"turtle, hawksbill turtle, loggerhead turtle";2809;EPt87JL1;4;1
"coral labyrinth";1851;EPt87JL1;631;0
"coral labyrinth, ivory bush coral";1851;EPt87JL1;12;1
"vertical fish clif";4481;EPt87JL1;212;1
"vertical fish clif, atlantic spadefish";4481;EPt87JL1;16;1
"cauliflower coral";13521;EPt87JL1;13728;0
"bubble coral";13521;EPt87JL1;12664;0
"lettuce coral diver";3415;EPt87JL1;1845;0
"lettuce coral diver, cockscomb cup coral, branching cauliflower coral";3415;EPt87JL1;4939;0
"greyish fish on sandy sea bottom";14096;test;54;1
"greyish fish on sandy sea bottom, atlantic trumpetfish, shovelnose spiny dogfish, lucifer dogfish";14096;test;386;0
"greyish stripped fish on a blue-grey sand";14096;test;428;1
"bluebanded goby, atlantic trumpetfish, bluebanded goby, inshore lizardfish";14096;test;342;1
"blue nose appearing from a hole";4022;test;14;1
"grey fish on a seabed";91;test;30;1
"blue fish with white dots on a coral";16545;test;704;1
"blue fish with white dots on a coral, queen parrotfish, parrotfish, blue spotted ribbontail ray";16545;test;18;1
"blue sea with sandy bottom";11666;test;909;0
"blue sea with , sand flounder";11666;test;857;0
"big coral with diver at back";3415;test;2111;1
"diver, pillar coral , threespot damselfish";3415;test;3963;0
"violette fish in front of rock with a hole";18677;test;2485;0
"violette fish in front of rock with a hole, broadclub cuttlefish, caribbean reef octopus, flatback turtle";18677;test;3709;0
"diver with yellow shoes";21876;test;41;1
"fish with blue background and boat trunk on top";16631;test;759;0
"fish with blue background and boat trunk on top, pelagic thresher shark, blue shark";16631;test;928;0
"big fish with sponge coral on the back";2785;test;81;0
"big fish with sponge coral on the back, gray triggerfish, clown triggerfish, atlantic spadefish";2785;test;59;1
"dart on a sand";18806;test;265;0
"dart on a sand, southern stingray, slender snipe eel, longnose sawshark, shortfin eel";18806;test;33;1
"tiger manta";8912;test;1130;1
"tiger manta, eagle ray, spotted eagle ray, tropical two-wing flyingfish";8912;test;80;1
"shark on bluish sand";17862;test;315;1
"shark on bluish sand, nurse shark, lemon shark, bull shark, spinner shark";17862;test;72;1
"underwatter trees";21412;test;15;1
"underwatter trees, kelp forest, giant kelp, kelpfish";21412;test;32;1
"pink coral with a fish in the centre";9368;test;14530;0
"pink coral with a fish in the centre, rose coral";9368;test;14597;0
"squid with grey sand and coral";12906;test;1258;0
"squid with grey sand and coral, smooth mounding coral";12906;test;1173;0
"greyish sandish coral on bottom with fisha and blue watter behind";4646;test;2080;0
"greyish sandish coral on bottom with fisha and blue watter behind, nassau grouper, bamboo coral, boulder star coral";4646;test;1026;1
"pillar column with small fish";3053;test;507;0
" with small fish, pillar coral";3053;test;2;1
"light with blue-green coral on sides";6070;test;3841;0
"brown-greyish mushroom on sand";14417;test;223;0
"brown-greyish mushroom on sand, smooth mounding coral, elkhorn coral, honeycomb coral";14417;test;701;0
"shark in blue ocean";5599;test;786;0
"shark in blue ocean, blue shark, shortfin mako shark, longfin mako shark";5599;test;89;1
"brownish coral with small fish in background";13521;test;2568;0
"brownish coral with small fish in background, boulder star coral";13521;test;3384;0
"hairy pblue-green coral";6295;test;30;1
"sandy coral with blueish water";14761;test;14249;0
"sandy coral with blueish water, smooth mounding coral, bamboo coral, pillar coral, ivory bush coral";14761;test;11541;0
"shark in dark sea";5432;test;221;1
"shark in dark sea, bowhead whale, whale, greenland shark";5432;test;39;1
"yellow star on sand";13947;test;17;1
"yellow star on sand, sea star, brown stargazer";13947;test;4;1
"pilar coral with greenish water";2235;test;153;0
"pilar coral with greenish water, cockscomb cup coral, boulder star coral, hood coral";2235;test;249;0
"murena fish on green-blueish sand and coral";5358;test;2545;0
"murena fish on green-blueish sand and coral, green moray eel, banded wrasse";5358;test;526;0
"stripped fish with diver on background";193;test;1110;0
"stripped fish with diver on background, atlantic spadefish, gray triggerfish, queen parrotfish";193;test;482;0
"underwatter grey sand with a rock";549;test;7048;0
"underwatter grey sand with a rock, seagrass bed";549;test;7119;0
"diver face with blue-green sandy background";317;test;708;1
"holed coral brown-redish";14346;test;8105;1
"holed coral brown-redish, giant barrel sponge";14346;test;1505;1
"corals on right bottom with blue water on top";9104;test;10331;0
"corals on right bottom with blue water on top, smooth mounding coral, honeycomb coral, pillar coral";9104;test;6012;0
"black fish in front of a flock of horizontally striped fishes";426;test;15;1
"eel hairline corals closeup";18547;test;46;1
"yellow clustered corals";1419;test;206;1
"yellow clustered corals, mustard hill coral, kelp forest";1419;test;45;1
"brown-white crabish on bluish sand";5025;test;147;0
"brown-white crabish on bluish sand, southern stingray, sand flounder, greenback flounder";5025;test;1156;0
"diver on top of a wrinkled yellow-white coral";16062;test;175;1
"manta on top of bluish rocky coral";2742;test;3741;0
"manta on top of bluish rocky coral, giant manta ray";2742;test;215;0
"underwatter bars and doors";10739;test;99;1
"underwatter bars and doors, shipwreck, mirror dory";10739;test;87;1
"greenish muldy waters with diver in the bottm";3006;test;902;0
"greenish muldy waters with diver in the bottom bubbles on top§";3006;test;3560;0
"yellow-reddish coral in the dark";21617;test;719;0
"yellow-reddish coral in the dark, venus sea fan coral";21617;test;338;0
"yellowish coral rocsk";16394;test;4718;0
"yellowish coral rocsk, yellow tube sponge, honeycomb coral";16394;test;4116;0
"pilar coral lighted from sides in a dark ocean";12829;test;313;0
"pilar coral lighted from sides in a dark ocean, cockscomb cup coral";12829;test;293;1
"a flock of blak fishes swimming to the top";4481;test;76;1
"a flock of blak fishes swimming to the top, flashlight fish, atlantic spadefish";4481;test;15;1
"large greenish cloth on top of small sand rocks";646;test;31;1
"holed reddish coral in sea";15450;test;3279;0
"holed reddish coral in sea, smooth mounding coral";15450;test;1479;0
"wrinkled coral with small fish in the centre, watter is almost not visible";10123;test;7466;0
"wrinkled coral with small fish in the centre, watter is almost not visible, branching cauliflower coral";10123;test;7573;0
"light with a camera closeup underwater";6030;test;8145;0
"black-dotted white fish with bluish sand underwater";11643;test;325;1
"coral bushes";9656;test;81;0
"coral bushes, smooth mounding coral";9656;test;63;1
"brown octopus";12785;test;24;1
"brown octopus on sand";12785;test;5;1
"three divers";4314;test;78;0
"three divers, smooth mounding coral";4314;test;1235;0
"brown-white fish on sand";12525;test;3;1
"fishes in front of a rock and blue water";4719;test;521;0
"fishes in front of a rock and blue water, atlantic spadefish, atlantic trumpetfish";4719;test;669;0
"coral bushes with blue water";9828;test;8546;0
"coral bushes with blue water, smooth mounding coral, stanghorn coral, bamboo coral";9828;test;4773;1
"shipwreck";10759;test;294;1
"red fish on top of greenish coral and sand";13333;test;41;1
"blue-yellow fish on top of sand and corals";9600;test;12;1
"muddy greenish water with sand";590;test;166;0
"muddy greenish water with sand, seagrass, seagrass bed";590;test;113;0
