query;find_id;session_id;position
"sandy bottom of the sea";11666;-2ABskvd;1326
"grey almost white sandy bottom of the sea";11666;-2ABskvd;334
"grey almost white sandy bottom of the sea with blue water at the top of the photo";11666;-2ABskvd;165
"small grey rocks in bright foggy photo with light blue water";2032;-2ABskvd;284
"small grey rocks in bright foggy photo with light blue water, pillar coral, smooth mounding coral";2032;-2ABskvd;123
"small grey rocks in bright foggy photo with light blue water, pillar coral, smooth mounding coral, sea cucumber";2032;-2ABskvd;90
"small snake head in the middle of the photo surround with sand and grey corals";2685;-2ABskvd;930
"small snake head in the middle of the photo surround with sand and grey corals, smooth mounding coral, bluebanded goby";2685;-2ABskvd;166
"small bluebanded goby in the middle of the photo surround with sand and grey corals, smooth mounding coral";2685;-2ABskvd;181
"light brown corals and rocks on the left, darker blue water in the top left";13521;-2ABskvd;9484
"light brown corals and rocks on the left, darker blue water in the top left, smooth mounding coral, pillar coral, hood coral";13521;-2ABskvd;5004
"light brown corals and rocks on the left, darker blue water in the top left, smooth mounding coral, pillar coral, hood coral, honeycomb coral, ivory bush coral";13521;-2ABskvd;3591
"a lot of bubbles on the left, rocks on the right side with grey corals";3698;-2ABskvd;11928
"a lot of bubbles in blue water on the left, rocks with small grey hood corals on the right side";3698;-2ABskvd;9161
"a lot of white bubbles in blue water on the left side and rocks with small grey hood corals on the right side";3698;-2ABskvd;11548
"underwater cave in reddish photo ";21179;-2ABskvd;56
"rocks with small corals in bright photo";16836;-2ABskvd;9638
"detail of rocks with small corals in bright foggy photo";16836;-2ABskvd;1640
"detail of grey rocks with small corals in bright foggy photo";16836;-2ABskvd;843
"grey smooth mounding corals in flashlight-lit photo";13094;-2ABskvd;8168
"grey smooth mounding corals in a well flashlight-lit photo";13094;-2ABskvd;5779
"grey smooth mounding corals in a well flashlight-lit photo, bright photo";13094;-2ABskvd;5100
"sandy bottom of the sea with small rocks and blue water above";14761;-2ABskvd;12795
"grey sandy bottom of the sea with small rocks and blue water above, foggy photo";14761;-2ABskvd;2316
"grey sandy bottom of the sea with a few small rocks and bluish water above, foggy photo";14761;-2ABskvd;619
"all blue photo";10615;-2ABskvd;55
"flashlight blurry photo";19200;-2ABskvd;6
"salmon in darker blue water";5599;-2ABskvd;7985
"two big tunas in darker blue water";5599;-2ABskvd;185
"two big blue sharks in darker blue water";5599;-2ABskvd;53
"brain coral and opening clam ";2580;-2ABskvd;1415
"brain coral and opening clam, giant barrel sponge, light blue photo";2580;-2ABskvd;682
"brain coral and opening clam, giant barrel sponge, light turquoise photo";2580;-2ABskvd;1023
"coral reef with diver and grey sand";2479;-2ABskvd;676
"coral reef with a diver with a breathing bomb and grey sand";2479;-2ABskvd;352
"coral reef on the left side of the photo with a diver with a breathing bomb and grey sand on the right side of the photo";2479;-2ABskvd;1208
"greyish coral reef with darker blue water above ";10364;-2ABskvd;6710
"brownish sponge coral reef with darker blue water above ";10364;-2ABskvd;3767
"brownish almost reddish honeycomb coral reef with darker blue water above ";10364;-2ABskvd;3773
"grey coral in sand";13953;-2ABskvd;3574
"grey coral in sand, porites napopora coral";13953;-2ABskvd;1603
"grey coral in sand, ivory bush coral";13953;-2ABskvd;2516
"brownish ivory bush coral";9828;yan4OnOK;5132
"brownish ivory bush coral bottom of the sea, seagrass bed";9828;yan4OnOK;2877
"brownish ivory bush coral bottom of the sea, seagrass bed, bamboo coral";9828;yan4OnOK;2614
"grey sand with long narrow fish";18806;yan4OnOK;752
"grey sand with trumpetfish";18806;yan4OnOK;278
"sand with small trumpetfish";18806;yan4OnOK;68
"shipwreck";10759;yan4OnOK;294
"shipwreck, windows and small tuna";10759;yan4OnOK;10
"two rays";8931;yan4OnOK;526
"two spotted eagle ray";8931;yan4OnOK;39
